h3_cell,latitude,longitude,bairro_clean
8981839a97bffff,,,
8981838a453ffff,-7.980418985124058,-34.917485905031235,passarinho
8981839835bffff,-8.037678924135756,-34.89360546030276,encruzilhada
8981838a18bffff,,,
8981838a48bffff,-7.985233128757368,-34.926982955173955,passarinho
8981839aa6fffff,-8.050141966818218,-34.94446935047714,cidade universitária
89818381247ffff,,,
898183984abffff,,,
898183983b3ffff,-8.044285419567307,-34.91512614950567,torre
8981838167bffff,,,
89818398c03ffff,-8.037640221529125,-34.94526599098102,iputinga
8981839a977ffff,,,
898183813b7ffff,,,
89818399c9bffff,-8.03590188709611,-34.88361743171592,campo grande
89818398317ffff,-8.038984619958143,-34.90893119645702,torre
8981839a663ffff,-8.123888635586736,-34.90324067595714,boa viagem
89818399dabffff,-8.013071450485507,-34.9111134193182,alto josé bonifácio
898183980dbffff,-8.070445939985305,-34.896416624099004,joana bezerra
898183813cbffff,,,
898183980d7ffff,,,
89818398423ffff,-8.079735588614284,-34.91125040045599,afogados
89818398ec7ffff,-8.031042664451256,-34.92421747521276,poço da panela
8981838a45bffff,-7.9783402,-34.9153983,passarinho
8981839a563ffff,-8.1246945,-34.9456618,cohab
8981839abb7ffff,,,
8981839a12bffff,,,
8981839a933ffff,,,
89818398c77ffff,,,
898183995bbffff,,,
8981839ab97ffff,,,
89818398e77ffff,-8.019320110250405,-34.926400747021425,nova descoberta
8981839864fffff,-8.067865551785426,-34.876400377060385,santo antônio
898183813c3ffff,,,
8981839a253ffff,-8.111437755127524,-34.897192770469125,boa viagem
89818398037ffff,-8.055940676473934,-34.91417181065117,prado
89818381233ffff,,,
8981838a563ffff,,,
8981839a12fffff,,,
89818398a5bffff,-8.00315979849243,-34.9139414769677,dois unidos
898183983a7ffff,-8.038128777690066,-34.91680917123368,casa forte
8981839820bffff,-8.04813496782294,-34.88207208127648,santo amaro
8981839a573ffff,-8.12777587417469,-34.94643455880749,ibura
89818398443ffff,,,
898183995afffff,-8.0598337,-34.87259821666667,bairro do recife
8981839836fffff,-8.026242354479539,-34.90309940296271,rosarinho
8981838a42fffff,-7.9686051,-34.9315277,guabiraba
8981839aad7ffff,,,
89818398087ffff,-8.067956503275015,-34.91170221474845,afogados
89818399c3bffff,-8.020573577847331,-34.88682072057735,arruda
89818399567ffff,,,
8981839b163ffff,-8.089169321080258,-34.883437488829486,pina
8981839857bffff,-8.065159853978322,-34.92023299562952,bongi
898183981c3ffff,-8.055388283682259,-34.920185374695336,cordeiro
89818398847ffff,,,
